,model,price,mileage,cylinder,daysOnMarket,city,dealer,year,trim,driveline,transmission
3106,toyota_camry,24657,23857.0,4.0,35,Dallas,Toyota of Dallas,2024,LE,FWD,automatic
3107,toyota_camry,32755,5.0,4.0,2,Dallas,Toyota of Dallas,2025,LE,FWD,automatic
3108,toyota_camry,31887,16305.0,4.0,35,Dallas,Toyota of Dallas,2024,XSE,FWD,automatic
3109,toyota_rav4 hybrid,28431,44899.0,4.0,51,Richardson,Toyota of Richardson,2022,XLE,AWD,automatic
3110,toyota_tundra,51230,3.0,6.0,69,Richardson,Toyota of Richardson,2025,SR5,RWD,automatic
3111,toyota_4_runner,33828,79640.0,6.0,45,Richardson,Toyota of Richardson,2022,TRD Sport,4X4,automatic
3112,toyota_b_z4_x,47353,7.0,,38,Dallas,Toyota of Dallas,2024,XLE,FWD,automatic
3113,toyota_rav4 hybrid,39321,6.0,4.0,2,Dallas,Toyota of Dallas,2025,XLE Premium,AWD,automatic
3114,toyota_camry,26872,22706.0,4.0,0,Dallas,Toyota of Dallas,2023,SE,FWD,automatic
3115,toyota_rav4,36156,,4.0,290,Dallas,Toyota of Dallas,2024,XLE Premium,FWD,automatic
3116,toyota_rav4,26749,58260.0,4.0,2,Dallas,Toyota of Dallas,2020,XLE Premium,FWD,automatic
3117,toyota_rav4,29380,23949.0,4.0,38,Dallas,Toyota of Dallas,2024,LE,AWD,automatic
3118,toyota_rav4,40721,5.0,4.0,112,Dallas,Toyota of Dallas,2024,Limited,FWD,automatic
3119,toyota_camry,32143,2.0,4.0,3,Richardson,Toyota of Richardson,2025,SE,FWD,automatic
3120,toyota_camry,43934,3.0,4.0,34,Richardson,Toyota of Richardson,2025,XLE,AWD,automatic
3121,toyota_highlander,28322,54955.0,6.0,30,Richardson,Toyota of Richardson,2021,XLE,FWD,automatic
3122,toyota_highlander hybrid,48988,28238.0,4.0,27,Richardson,Toyota of Richardson,2023,XLE,AWD,automatic
3123,toyota_tundra,56488,6.0,6.0,91,Richardson,Toyota of Richardson,2025,SR5,4X4,automatic
3124,toyota_tundra,77909,,6.0,316,Dallas,Toyota of Dallas,2024,TRD Pro HV,4X4,automatic
3125,toyota_corolla,19926,54709.0,4.0,2,Dallas,Toyota of Dallas,2022,LE,FWD,automatic
3126,toyota_corolla,27056,2.0,4.0,3,Richardson,Toyota of Richardson,2025,SE,FWD,automatic
3127,toyota_corolla cross,21998,50470.0,4.0,30,Richardson,Toyota of Richardson,2022,LE,FWD,automatic
3128,toyota_crown,36988,8598.0,4.0,27,Richardson,Toyota of Richardson,2023,Limited,AWD,automatic
3129,toyota_rav4 hybrid,43366,2.0,4.0,6,Richardson,Toyota of Richardson,2024,XSE,AWD,automatic
3130,toyota_camry,25807,22530.0,4.0,0,Dallas,Toyota of Dallas,2024,LE,FWD,automatic
3131,toyota_corolla,21926,21039.0,4.0,0,Dallas,Toyota of Dallas,2024,LE,FWD,automatic
3132,toyota_rav4,24999,50400.0,2.0,10,Houston,Joe Myers Toyota,2022,LE,FWD,automatic
3133,toyota_rav4,29691,19350.0,2.0,10,Houston,Joe Myers Toyota,2024,XLE,FWD,automatic
3134,toyota_tacoma,34988,52563.0,6.0,26,Richardson,Toyota of Richardson,2021,TRD Sport,4X4,automatic
3135,toyota_rav4 hybrid,28685,25422.0,4.0,36,Richardson,Toyota of Richardson,2021,XLE,AWD,automatic
3136,toyota_sienna,40691,29436.0,42.0,8,Houston,Joe Myers Toyota,2024,LE 8-Passenger,FWD,automatic
